,marca_temporal,lugar_residencia,lugar_residencia_py,estado_calles,problema_baches,estimacion_cantidad,tipo_camino,tiempo_reparaciones,como_denunciar,acceso_informacion,sufrio_accidentes,frecuencia_mantenimiento,denunciaria_baches,util_conocer,respuesta_gubernamental,regularidad_reparaciones
312,9/11/2022 1:26:08,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO NUNCA,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
316,9/11/2022 4:21:33,Paraguay,Central,Lamentable,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
317,9/11/2022 6:44:45,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
318,9/11/2022 9:29:15,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
320,9/11/2022 9:51:53,Paraguay,Central,Bueno,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
321,9/11/2022 13:40:45,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,SI,NO,NO,,SI,SI,LAMENTABLE,NUNCA
322,9/11/2022 13:50:49,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO SE,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
323,9/11/2022 13:52:45,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
324,9/11/2022 13:56:10,Paraguay,Central,Malo,SI,NO SE,MIXTO,MUCHO,NO,NO SE,NO NUNCA,,,NO SE,LAMENTABLE,NUNCA
325,9/11/2022 13:56:14,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,POCO,NO,NO SE,NO NUNCA,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
326,9/11/2022 13:57:34,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
327,9/11/2022 13:59:18,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
328,9/11/2022 14:01:29,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI FRECUENTEMENTE,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
331,9/11/2022 14:15:51,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,BUENA,NUNCA
332,9/11/2022 14:20:23,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
333,9/11/2022 14:20:39,Paraguay,Central,Malo,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
